1200013;1120
1200054;1570
1200104;1058
1200138;1007
1200179;1015
1200203;1074
1200252;1112
1200302;1139
1200328;1104
1200344;1554
1200351;1040
1200336;1090
1200385;1511
1200807;1023
1200393;1066
1200401;1392
1200427;1082
1200435;1031
1200500;1457
1200450;1538
1200609;1473
1200708;1490
2700201;27030
2700300;27057
2700409;27073
2700508;27090
2700607;27111
2700706;27138
2700904;27170
2700805;27154
2701001;27197
2701100;27219
2701209;27235
2701308;27251
2701357;27081
2701407;27278
2701506;27294
2701605;27316
2701704;27332
2701803;27359
2701902;27375
2702009;27391
2702108;27413
2702207;27430
2702306;27456
2702355;28894
2702405;27472
2702504;27499
2702553;27049
2702603;27510
2702702;27537
2702801;27553
2702900;27570
2703007;27596
2703106;27618
2703205;27634
2703304;27650
2703403;27677
2703502;27693
2703601;27715
2703700;27731
2703759;27065
2703809;27758
2703908;27774
2704005;27790
2704104;27812
2704203;27839
2704302;27855
2704401;27871
2704906;27979
2704500;27898
2704609;27910
2704708;27936
2704807;27952
2705002;27995
2705101;28010
2705200;28037
2705309;28053
2705408;28070
2705507;28096
2705606;28118
2705705;28134
2705804;28150
2705903;28177
2706000;28193
2706109;28215
2706208;28231
2706307;28258
2706422;27022
2706448;27006
2706505;28290
2706604;28312
2706703;28339
2706802;28355
2706901;28371
2707008;28398
2707107;28410
2707305;28452
2707404;28479
2707503;28495
2707206;28436
2706406;28274
2707602;28517
2707701;28533
2707800;28550
2707909;28576
2708006;28592
2708105;28614
2708907;28770
2708956;28916
2708204;28630
2708303;28657
2708402;28673
2708501;28690
2708600;28711
2708709;28738
2708808;28754
2709004;28797
2709103;28819
2709152;28932
2709202;28835
2709301;28851
2709400;28878
2700102;27014
1600105;6017
1600204;6033
1600212;6068
1600238;6114
1600253;6041
1600279;6130
1600303;6050
1600402;6076
1600501;6092
1600535;6025
1600550;6009
1600600;6157
1600055;6106
1600709;6173
1600808;6122
1600154;6084
1300029;2895
1300060;2917
1300086;2933
1300102;2038
1300144;2003
1300201;2054
1300300;2070
1300409;2097
1300508;2119
1300607;2135
1300631;2950
1300680;2976
1300706;2151
1300805;2178
1300839;2992
1300904;2194
1301001;2216
1301100;2232
1301159;2046
1301209;2259
1301308;2275
1301407;2291
1301506;2313
1301605;2330
1301654;2020
1301704;2356
1301803;2399
1301852;98353
1301902;2410
1301951;98370
1302009;2437
1302108;2453
1302207;2470
1302306;2496
1302405;2518
1302504;2534
1302553;98396
1302603;2550
1302702;2577
1302801;2593
1302900;2615
1303007;2631
1303106;2658
1303205;2011
1303304;2674
1303403;2690
1303502;2712
1303536;98418
1303569;98434
1303601;2372
1303700;2739
1304005;2771
1303809;2836
1303908;2755
1303957;98450
1304062;98477
1304104;2798
1304203;2810
1304237;98515
1304260;98493
1304302;2852
1304401;2879
2900207;33030
2900108;33014
2900306;33057
2900355;33065
2900603;33111
2900702;33138
2900801;33154
2900900;33170
2901007;33197
2901106;33219
2901155;30716
2901205;33235
2901304;33251
2901353;33260
2901403;33278
2901502;33294
2901601;33316
2901700;33332
2901809;33359
2901908;33375
2901957;33405
2902005;33391
2902104;33413
2902203;33430
2902252;30732
2902302;33456
2902054;33383
2902401;33472
2902500;33499
2902609;33510
2902658;33529
2902708;33537
2902807;33553
2902906;33570
2903003;33596
2903102;33618
2903201;33634
2903235;30759
290330;33650
2903276;30775
2903409;33677
2903508;33693
2903607;33715
2903706;33731
2903805;33758
2903904;33774
2903953;33782
2904001;33790
2904050;33804
2904100;33812
2904209;33839
2904407;33871
2904308;33855
2904506;33898
2904605;33910
2904704;33936
2904753;30791
2904803;33952
2904852;33960
2904902;33979
2905008;33995
290510;34010
2905156;34029
2905206;34037
2905305;34053
2905404;34070
2905503;34096
2905602;34118
2905800;34150
2905701;34134
2905909;34177
2906006;34193
2906204;34231
2906303;34258
2906402;34274
2906501;34290
2906600;34312
2906808;34355
2906824;30856
2906105;34215
2906857;30813
2906873;30830
2906907;34371
2906899;34363
2907004;34398
2907103;34410
2907202;34436
2907301;34452
2907400;34479
2907509;34495
2907558;34509
2907608;34517
2907707;34533
2907905;34576
2908002;34592
2908101;34614
2908200;34630
2908309;34657
